term,definitions,hierarchy_paths,sources
methane,"['A colourless, odourless, and tasteless gas, lighter than air and reacting violently with chlorine and bromine in sunlight, a chief component of natural gas; used as a source of methanol, acetylene, and carbon monoxide. Also known as methyl hydride.', 'Methane (CH4) is a colorless, odorless, flammable, greenhouse gas. It is released naturally into the air from marshes, swamps, rice fields, ruminant animals (such as cattle), and sewage sludge. CH4 is also released from methane-producing bacteria (methanogens) that live in anaerobic places. [Solar Energy; v52n6; 467-477; 1994.] [Air, The Nature of Atmosphere and the Climate; Michael Allaby; pages 39,40; 1992; Facts on File; New York] [Dictionary of Science; R.K. Barnhart; page 398; 1986; Houghton Mifflin Company; Boston.]', ""Methane (CH4) is a greenhouse gas and is seen in polar ice cores. From the ice core record, it is known that methane rose rapidly whenever climate changed from glacial to interglacial conditions (during 'deglaciation'). Warming of water bathing the seafloor could have led to large-scale release of methane from the melting of methane ice."", ""Methane (CH4) is a greenhouse gas and is seen in polar ice cores. From the icecore record, it is known that methane rose rapidly whenever climate changedfrom glacial to interglacial conditions (during 'deglaciation'). Warming ofwater bathing the seafloor could have led to large-scale release of methanefrom the melting of methane ice.""]","['chemical -> organic substance -> hydrocarbon -> alkane -> methane', 'EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> CARBON AND HYDROCARBON COMPOUNDS -> METHANE', 'EARTH SCIENCE -> CLIMATE INDICATORS -> PALEOCLIMATE INDICATORS -> ICE CORE RECORDS -> METHANE', 'EARTH SCIENCE -> PALEOCLIMATE -> ICE CORE RECORDS -> METHANE']","['GEMET', 'GCMD']"
methane concentration,"['Atmospheric methane abundance, defined as the number of molecules of methane divided by the total number of molecules in the sample.']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> CARBON AND HYDROCARBON COMPOUNDS -> METHANE -> METHANE CONCENTRATION'],['GCMD']
methane emission rate,"['The bidirectional exchange rate of methane (CH4) across defined interfaces (e.g., soil-atmosphere, water-atmosphere, vegetation-atmosphere) within Earth’s systems.']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> CARBON AND HYDROCARBON COMPOUNDS -> METHANE -> METHANE EMISSION RATE'],['GCMD']
methane flux,"['Fluctuations in the bidirectional exchange rate of methane (CH4) across defined interfaces (e.g., soil-atmosphere, water-atmosphere, vegetation-atmosphere) within Earth’s systems.']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> CARBON AND HYDROCARBON COMPOUNDS -> METHANE -> METHANE FLUX'],['GCMD']
methane production/use,['Refers to the production and use of nuclear power for human consumption. Methane is a naturally occurring gas which is associated with decomposition and with oil deposits.'],['EARTH SCIENCE -> HUMAN DIMENSIONS -> ECONOMIC RESOURCES -> ENERGY PRODUCTION/USE -> METHANE PRODUCTION/USE'],['GCMD']
methanisation,"['The process of deriving methane from any source, including livestock manure, landfills, coal mines, etc.']",['services -> public service -> gas supply -> methanisation'],['GEMET']
methanol,"[""Methanol, also known as methyl alcohol, wood alcohol, wood naphtha or wood spirits, is a chemical with the formula CH3OH (often abbreviated MeOH). Methanol acquired the name 'wood alcohol' because it was once produced chiefly as a byproduct of the destructive distillation of wood. Modern methanol is produced in a catalytic industrial process directly from carbon monoxide, carbon dioxide, and hydrogen.""]",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> HALOCARBONS AND HALOGENS -> METHANOL'],['GCMD']
method,"['A way of proceeding or doing something, especially a systematic or regular one.']",['methodology -> method'],['GEMET']
methodology,['The system of methods and principles used in a particular discipline.'],['methodology'],['GEMET']
methods,[],[],['AGU Index Terms']
methyl bromide,"['CH3Br, this halocarbon is released, to a degree, naturally from the oceans, but is more commonly released from its anthropogenic use as a soil fumigant or pesticide. Methyl bromide is persistent enough to reach the stratosphere where it photochemically decomposes to yield atomic bromine (radical) and proceeds to destroy stratospheric ozone in the same manner as the atomic chlorine radical. On an atom-for-atom basis, stratospheric bromine is more efficient at destroying ozone than is chlorine because the HBr reservoir species is more photochemically active than HCl; however, there is much less of hydrogen bromide in the stratosphere. Recent data suggest that since 1998 atmospheric concentrations have dropped 13% due the CH3Br use limitations mandated by the Montreal Protocol']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> HALOCARBONS AND HALOGENS -> METHYL BROMIDE'],['GCMD']
methyl chloride,"['CH3Cl, this compound supplies chlorine to the stratosphere by occasional volcanic eruptions and by tropospheric to stratospheric transport. Methyl chloride is also produced by seaweed. The natural chlorine content of the stratosphere as a consequence of these sources is about 0.6 ppbv.']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> HALOCARBONS AND HALOGENS -> METHYL CHLORIDE'],['GCMD']
methyl cyanide,"['Methyl Cyanide (CH3CN), also known as acetonitrile, is emitted from incomplete combustion of vegetable matter, notably biomass, for example, cigarettes. Acetonitrile is relatively unreactive in the troposphere and thus reaches the stratosphere, where it participates in ionmolecule reactions.']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> CARBON AND HYDROCARBON COMPOUNDS -> METHYL CYANIDE'],['GCMD']
methyl fluoride,"['Methyl fluoride (or fluoromethane) is a colorless flammable gas which is heavier than air. It has an agreeable ether-like odor. It is narcotic in high concentrations. It burns with evolution of hydrogen fluoride. The flame is colorless, similar to alcohol. Under prolonged exposure to fire or intense heat the containers may rupture violently and rocket.']",['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC CHEMISTRY -> HALOCARBONS AND HALOGENS -> METHYL FLUORIDE'],['GCMD']
metrology,['The science of measurement.'],['science -> physical science -> metrology'],['GEMET']
metropolis,"['A term applied loosely to any large city, but specifically to that city in a country which is the seat of government, of ecclesiastical authority, or of commercial activity.']",['land setup -> built-up area -> human settlement -> urban settlement -> urban area -> metropolis'],['GEMET']
meud__msh,[],['MEUD__MSH'],['HELIO Ontology']
mex__els,[],['MEX__ELS'],['HELIO Ontology']
mf radar,[],['MFRadar -> mf radar'],['HELIO Ontology']
mfa,"['Magnetic Field Aligned - A coordinate system spacecraft-centered system with Z in the direction of the ambient magnetic field vector.', 'Magnetic Field Aligned - A coordinate systemspacecraft-centered system with Z in the direction of the ambient magneticfield vector. X is in the plane defined by Z and the spacecraft-Sun line,positive sunward. See <http://cdpp.cnes.fr/00428.pdf>']",['MFA'],"['HELIO Ontology', 'SPASE Dictionary']"
mgh - mc graw-hill zanichelli dizionario enciclopedico scientifico e tecnico inglese-italiano italiano-inglese,[],['MGH - McGraw-Hill Zanichelli Dizionario Enciclopedico Scientifico e Tecnico Inglese-Italiano Italiano-Inglese'],['GEMET']
"mghme - mc graw-hill dictionary of modern economics, 3rd edition",[],"['MGHME - McGraw-Hill Dictionary of Modern Economics, 3rd edition']",['GEMET']
mgs__er,[],['MGS__ER'],['HELIO Ontology']
mgs__mag,[],['MGS__MAG'],['HELIO Ontology']
mhd,"['Magnetohydrodynamics theory - this is the theory the describes the physics of conducting fluids including plasmas. It includes both fluid theory (“hydrodynamics”) and Electricity and Magnetism (“Magneto”).', 'Hydrodynamic waves in a magnetized plasma inwhich the background magnetic field plays a key role in controlling the wavepropagation characteristics.']",['MHD'],"['NASA CCMC', 'SPASE Dictionary']"
mhd - mc graw-hill dictionary of scientific and technical terms - fourth edition,[],['MHD - McGraw-Hill Dictionary of Scientific and Technical Terms - Fourth Edition'],['GEMET']
mhd wave,['Hydrodynamic waves in a magnetized plasma in which the background magnetic field plays a key role in controlling the wave propagation characteristics.'],['MHDWave -> mhd wave'],['HELIO Ontology']
mhd waves and instabilities,[],[],['AGU Index Terms']
mhd waves and turbulence,[],[],['AGU Index Terms']
michelson interferometer,[],['MichelsonInterferometer -> michelson interferometer'],['HELIO Ontology']
micro-organism,"['A microscopic organism, including bacteria, protozoans, yeast, viruses, and algae.']",['biosphere -> organism -> micro-organism'],['GEMET']
micro-particle,['Space object with size below one millimetre and above 0.1 micrometer.'],['Micro-particle'],['ESA Space Weather Glossary']
microalgae,['Microalgae are microscopic algae.'],['EARTH SCIENCE -> BIOLOGICAL CLASSIFICATION -> PLANTS -> MICROALGAE'],['GCMD']
microbe/mineral interactions,[],[],['AGU Index Terms']
microbial changes,['Changes and adaptations to microorganisms and their communities.'],['EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> SPECIES/POPULATION INTERACTIONS -> MICROBIAL CHANGES'],['GCMD']
microbial resource,"['Any available source of supply derived from microbes, which would be used for beneficial purposes, such as for the production of food substances and drugs.']",['resource -> natural resource -> biological resource -> microbial resource'],['GEMET']
microbial source tracking,"['Determining the origin of a biological pollutant, typically fecal matter, using unique microbiological, genotypic, phenotypic, and chemical patterns and comparing the patterns to different source locations.']",['EARTH SCIENCE -> BIOSPHERE -> OMICS -> OMICS METHODOLOGY -> MICROBIAL SOURCE TRACKING'],['GCMD']
microbiological analysis,"['Analysis for the identification of viruses, bacteria, fungi and parasites.']",['analysis -> biological analysis -> microbiological analysis'],['GEMET']
microbiology,"['The science and study of microorganisms, including protozoans, algae, fungi, bacteria, viruses, and rickettsiae.']",['science -> natural science -> life science -> biology -> microbiology'],['GEMET']
microbiology and microbial ecology,[],[],['AGU Index Terms']
"microbiology: ecology, physiology and genomics",[],[],['AGU Index Terms']
microbiome,"['The microbiome is the community of microorganisms (such as fungi, bacteria, archaea, and viruses) that exists in a particular environment.']",['EARTH SCIENCE -> BIOSPHERE -> OMICS -> MICROBIOME'],['GCMD']
microburst,['A downburst that covers an area less than 4 km along a side with peak winds that last 2–5 minutes'],['EARTH SCIENCE -> ATMOSPHERE -> WEATHER EVENTS -> WIND STORMS -> MICROBURST'],['GCMD']
microbursts,['A downburst that covers an area less than 4 km along a side with peak winds that last 2–5 minutes.'],['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WINDS -> LOCAL WINDS -> MICROBURSTS'],['GCMD']
microchannel plate,"['An instrument used for the detection of elementary particles, ions, ultraviolet rays and soft X-rays constructed from very thin conductive glass capillaries. (spase)', 'An instrument used for the detection ofelementary particles, ions, ultraviolet rays and soft X-rays constructedfrom very thin conductive glass capillaries.']",['MicrochannelPlate -> microchannel plate'],"['HELIO Ontology', 'SPASE Dictionary']"
microclimate,"['The local, rather uniform climate of a specific place or habitat, compared with the climate of the entire area of which it is a part.', ""The fine climatic structure of the air space that extends from the very surface of the earth to a height where the effects of the immediate character of the underlying surface no longer can be distinguished from the general local climate (mesoclimate or macroclimate).The microclimate varies with and in turn is superimposed upon the larger-scale conditions. While some rigid limits have been placed on the thickness of the layer concerned, it is more realistic to consider variable thicknesses. (Observe the microclimate of a putting green versus that of a redwood forest.) Generally, four times the height of surface growth or structures defines the level where microclimatic overtones disappear. Microclimate can be subdivided into as many different classes as there are types of underlying surface. With sufficient detail, this could be almost limitless. Currently, the most studied broad types are the 'urban microclimate,' affected by pavement, buildings, air pollution, dense inhabitation, etc., the 'vegetation microclimate,' concerned with the complex nature of the air space occupied by vegetation, and its effects upon the vegetation (see phytoclimatology); and the microclimate of confined spaces (the cryptoclimate) of houses, greenhouses, caves, etc.""]","['climate -> microclimate', 'EARTH SCIENCE -> CLIMATE INDICATORS -> REGIONAL CLIMATE LEVELS -> MICROCLIMATE']","['GEMET', 'GCMD']"
